conversation_id_str,full_text,lang,location,Stemming,Paslon,InSet_Score,Sentistrength_Score,Combined_Score
1734720724659802165,NAH INIIII KABOGOH ABDI NU PALING GEULISSSINI DIA CANTIKKU SEMESTAKU PUSPITAKUUUUU️ @PS_AmandaJKT48 https://t.co/pD3ATAmELg,in,,"['nah', 'iniiii', 'kabogoh', 'abdi', 'nu', 'paling', 'geulisssini', 'cantik', 'semesta', 'puspitakuuuuu']",Anies,2.0,4.0,6.0
1734706452533485703,kuat kuat pendukung anis di tngah tngah keluarga pro ganjar (gmn cr jd buzzer),in,,"['kuat', 'kuat', 'dukung', 'anis', 'tngah', 'tngah', 'keluarga', 'pro', 'ganjar', 'gmn', 'cr', 'jd', 'buzzer']",Anies,17.0,4.0,21.0
1734700849375404203,Ngeliat timeline abis Debat Capres semalem isinya cuma kubu anis sama prabowo doang ga terlalu banyak yg ngomongin ganjar karena ya orang tau dia cuma fafifu doang xixixi 1 atau 2 yg penting jangan 3 ,in,"Malang, Jawa Timur","['ngeliat', 'timeline', 'abis', 'debat', 'capres', 'semalem', 'isi', 'cuma', 'kubu', 'anis', 'sama', 'prabowo', 'doang', 'ga', 'terlalu', 'banyak', 'yg', 'ngomongin', 'ganjar', 'orang', 'tau', 'cuma', 'fafifu', 'doang', 'xixixi', 'yg', 'penting', 'jangan']",Anies,3.0,1.0,4.0
1734723220090347731,Mas Anis Angin mau buat KTP tapi d mana y.??? Wkwkwkw https://t.co/a40e2j8oWX,in,"DKI Jakarta, Indonesia","['mas', 'anis', 'angin', 'mau', 'buat', 'ktp', 'd', 'mana', 'y', 'wkwkwkw']",Anies,6.0,-3.0,3.0
1734729645613101418,@Hilmi28 Konon ada juga lho alumni kampus cap gajah duduk ikutan ndukung bocah ingusan itu. Umumnya sih yg dulu nolak Pak Din jadi ketua wali amanah. Duh... Bener² melecehkan diri mereka sendiri.,in,Jakarta,"['konon', 'lho', 'alumni', 'kampus', 'cap', 'gajah', 'duduk', 'ikut', 'ndukung', 'bocah', 'ingus', 'umum', 'sih', 'yg', 'dulu', 'nolak', 'pak', 'din', 'jadi', 'ketua', 'wali', 'amanah', 'duh', 'bener', 'leceh', 'diri', 'sendiri']",Anies,-6.0,-3.0,-9.0
1734733888386388181,pada ngesw anis,in,stress,"['ngesw', 'anis']",Anies,0.0,0.0,0.0
1734711280148349225,@HensuAja @JHSinurat Saya lihatnya dek2an takut kalau Gemoy langsung strok di tempat. Mentalnya Gemoy hancur lebur di kick Ganjar dan Anis. Prihatin calon pemimpin yg seperti dia yg tdk mampu menguasai dirinya. Waspadalah.... Jangan sampai Gemoy duduk di kursi RI 1. Hancouur negeri ini,in,,"['lihat', 'dekan', 'takut', 'kalau', 'gemoy', 'langsung', 'strok', 'tempat', 'mental', 'gemoy', 'hancur', 'lebur', 'kick', 'ganjar', 'anis', 'prihatin', 'calon', 'pimpin', 'yg', 'yg', 'tdk', 'mampu', 'kuasa', 'diri', 'waspada', 'jangan', 'gemoy', 'duduk', 'kursi', 'ri', 'hancouur', 'negeri']",Anies,9.0,0.0,9.0
1734724508077203770,Debat Capres... Anis.....Mantan Gubernur... Prabowo...Menhakam Aktif Ganjar.... Gubernur Jateng..Aktif.. Konstitusi bisa berubah....sesuai Kepentingan....Tahu sama Tahu...Kita Bukan Anak anak ...katanya ....,in,,"['debat', 'capres', 'anismantan', 'gubernur', 'prabowomenhakam', 'aktif', 'ganjar', 'gubernur', 'jatengaktif', 'konstitusi', 'berubahsesuai', 'kepentingantahu', 'sama', 'tahukita', 'bukan', 'anak', 'anak', 'kata']",Anies,3.0,0.0,3.0
1734730637746307123,Pilih Anis atau Prabowo atau Ganjar itu pilihanmu soalnya yang kalah tetep manchester. https://t.co/jYXqGI1l1U,in,,"['pilih', 'anis', 'prabowo', 'ganjar', 'pilih', 'soal', 'kalah', 'tetep', 'manchester']",Anies,-4.0,-3.0,-7.0
1734727814782566817,Air coway pun tak lepas nok ,in,Malaysia,"['air', 'coway', 'tak', 'lepas', 'nok']",Anies,-3.0,0.0,-3.0
